"Start Date & Time","End Date & Time","Elapsed Time","Elapsed in Decimal","Category","Client","Job","Description"
"2013-12-12 21:16","2013-12-12 21:48","0:32","0.53","Reading","Books:self-help","Эта Странная Жизнь",""
"2013-12-13 17:05","2013-12-13 17:21","0:16","0.27","Housework","Kitchen","Not Specified",""
"2013-12-13 17:21","2013-12-13 17:26","0:05","0.08","Housework","Cats","Not Specified",""
"2013-12-13 17:26","2013-12-13 17:37","0:11","0.18","Housework","Making Bed","Not Specified",""
"2013-12-13 18:08","2013-12-13 19:12","1:04","1.07","Toastmasters","Speech Preparation","Not Specified",""
"2013-12-14 16:39","2013-12-14 16:51","0:12","0.20","Housework","Making Bed","Not Specified",""
"2013-12-14 16:51","2013-12-14 17:41","0:50","0.83","Housework","Kitchen","Not Specified",""
"2013-12-14 17:41","2013-12-14 17:54","0:13","0.22","Housework","Bathroom","Not Specified",""
"2013-12-14 17:56","2013-12-14 20:06","2:10","2.17","Housework","Cleaning","Not Specified",""
"2013-12-14 22:57","2013-12-14 23:10","0:13","0.22","Housework","Kitchen","Not Specified",""
"2013-12-14 23:16","2013-12-14 23:32","0:16","0.27","Playing","Games","Candy Crush",""
"2013-12-15 08:11","2013-12-15 09:34","1:23","1.38","Reading","Books:fiction","Not Specified",""
"2013-12-15 09:42","2013-12-15 09:56","0:14","0.23","Playing","Games","Candy Crush",""
"2013-12-15 09:58","2013-12-15 10:37","0:39","0.65","Hobby","Scrapbooking","European Picture Album",""
"2013-12-15 10:37","2013-12-15 11:26","0:49","0.82","Skype","Brother","Not Specified",""
"2013-12-15 11:35","2013-12-15 12:07","0:32","0.53","Hobby","Scrapbooking","European Picture Album",""
"2013-12-15 12:08","2013-12-15 13:09","1:01","1.02","Skype","Parents","Not Specified",""
"2013-12-15 13:11","2013-12-15 13:41","0:30","0.50","Housework","Cooking","Not Specified",""
"2013-12-15 14:16","2013-12-15 15:45","1:29","1.48","Hobby","Scrapbooking","European Picture Album",""
"2013-12-15 15:57","2013-12-15 16:45","0:48","0.80","Housework","Cleaning","Kitchen",""
"2013-12-15 16:45","2013-12-15 17:23","0:38","0.63","Housework","Laundry","Not Specified",""
"2013-12-15 17:26","2013-12-15 18:08","0:42","0.70","Reading","Magazines","Not Specified",""
"2013-12-15 18:20","2013-12-15 18:37","0:17","0.28","Housework","Shopping ","Groceries",""
"2013-12-15 18:38","2013-12-15 19:34","0:56","0.93","Housework","Cooking","Not Specified",""
"2013-12-15 20:55","2013-12-15 22:03","1:08","1.13","With Michael","Nails","Not Specified",""
"2013-12-15 23:04","2013-12-16 06:25","7:21","7.35","Sleep","Not Specified","Not Specified",""
"2013-12-16 07:15","2013-12-16 07:22","0:07","0.12","Playing","Games","Candy Crush",""
"2013-12-16 08:00","2013-12-16 08:29","0:29","0.48","Listening","Books:fiction","Leskov Geleznaya Volya",""
"2013-12-16 08:29","2013-12-16 16:34","8:05","8.08","At Work","Dendreon","Not Specified",""
"2013-12-16 09:16","2013-12-16 11:25","1:52","1.87","Learning","Linear Algebra","Khan Academy",""
"2013-12-16 11:27","2013-12-16 12:14","0:47","0.78","Reading","Science Papers","Bioinformatics ",""
"2013-12-16 12:33","2013-12-16 16:34","1:28","1.47","Honest Work","Dendreon","Not Specified",""
"2013-12-16 13:10","2013-12-16 13:32","0:22","0.37","Rest=day sleep=nap","Not Specified","Not Specified",""
"2013-12-16 16:40","2013-12-16 17:07","0:27","0.45","Listening","Books:fiction","Leskov Geleznaya Volya",""
"2013-12-16 17:14","2013-12-16 17:57","0:43","0.72","Hobby","Scrapbooking","Toastmaster's Magazine",""
"2013-12-16 20:14","2013-12-16 20:30","0:16","0.27","Housework","Cooking","Not Specified",""
"2013-12-16 23:05","2013-12-17 06:35","7:30","7.50","Sleep","Not Specified","Not Specified",""
"2013-12-17 06:55","2013-12-17 07:36","0:41","0.68","Housework","Cleaning","Not Specified",""
"2013-12-17 08:14","2013-12-17 08:42","0:28","0.47","Listening","Books:fiction","Leskov Geleznaya Volya",""
"2013-12-17 08:43","2013-12-17 16:48","8:05","8.08","At Work","Dendreon","Not Specified",""
"2013-12-17 10:54","2013-12-17 10:59","0:05","0.08","Learning","Linear Algebra","Khan Academy",""
"2013-12-17 11:16","2013-12-17 12:47","1:08","1.13","Learning","Linear Algebra","Khan Academy",""
"2013-12-17 12:49","2013-12-17 13:49","1:00","1.00","Reading","Science Papers","Bioinformatics ",""
"2013-12-17 14:34","2013-12-17 16:47","1:33","1.55","Honest Work","Dendreon","Not Specified",""
"2013-12-17 16:54","2013-12-17 17:26","0:32","0.53","Listening","Books:fiction","Leskov Geleznaya Volya",""
"2013-12-17 19:40","2013-12-17 20:01","0:21","0.35","Listening","Books:fiction","Leskov Geleznaya Volya",""
"2013-12-17 20:50","2013-12-17 21:36","0:46","0.77","Reading","Books:fiction","This Strange Life",""
"2013-12-17 21:40","2013-12-17 22:26","0:46","0.77","Skype","Parents","Not Specified",""
"2013-12-17 23:23","2013-12-18 06:15","6:52","6.87","Sleep","Not Specified","Not Specified",""
"2013-12-18 06:35","2013-12-18 07:37","1:02","1.03","Housework","Cleaning","Not Specified",""
"2013-12-18 08:32","2013-12-18 09:42","1:10","1.17","Toastmasters","Speech Preparation","Not Specified",""
"2013-12-18 08:58","2013-12-18 16:56","7:58","7.97","At Work","Dendreon","Not Specified",""
"2013-12-18 10:42","2013-12-18 16:44","1:40","1.67","Honest Work","Dendreon","Not Specified",""
"2013-12-18 11:45","2013-12-18 12:02","0:17","0.28","Toastmasters","Speech Preparation","Not Specified",""
"2013-12-18 13:58","2013-12-18 14:14","0:12","0.20","Toastmasters","Speech Preparation","Not Specified",""
"2013-12-18 15:53","2013-12-18 16:43","0:50","0.83","Feeling Poopy","Not Specified","Not Specified",""
"2013-12-18 16:59","2013-12-18 17:39","0:25","0.42","Listening","Books:fiction","Leskov Geleznaya Volya",""
"2013-12-18 17:39","2013-12-18 18:52","1:13","1.22","Housework","Cooking","Not Specified",""
"2013-12-18 20:11","2013-12-18 20:50","0:39","0.65","Toastmasters","Speech Preparation","Not Specified",""
"2013-12-18 20:51","2013-12-18 21:52","1:01","1.02","Feeling Poopy","Not Specified","Not Specified",""
"2013-12-18 20:52","2013-12-18 21:46","0:54","0.90","Playing","Games","Not Specified",""
"2013-12-18 21:52","2013-12-18 22:02","0:10","0.17","Housework","Cleaning","Not Specified",""
"2013-12-18 22:24","2013-12-19 05:20","6:56","6.93","Sleep","Not Specified","Not Specified",""
"2013-12-19 09:15","2013-12-19 16:55","7:40","7.67","At Work","Dendreon","Not Specified",""
"2013-12-19 09:35","2013-12-19 15:30","3:47","3.78","Honest Work","Dendreon","Not Specified",""
"2013-12-19 13:44","2013-12-19 14:06","0:22","0.37","Rest=day sleep=nap","Not Specified","Not Specified",""
"2013-12-19 15:42","2013-12-19 16:46","0:32","0.53","Learning","Linear Algebra","Khan Academy",""
"2013-12-19 16:25","2013-12-19 16:45","0:20","0.33","Speed Reading","Not Specified","Not Specified",""
"2013-12-19 16:58","2013-12-19 17:26","0:28","0.47","Listening","Books:fiction","Leskov Geleznaya Volya",""
"2013-12-19 17:36","2013-12-19 18:30","0:33","0.55","Reading","Books:fiction","Middlesex",""
"2013-12-19 19:19","2013-12-19 21:16","1:56","1.93","Housework","Cleaning","Not Specified",""
"2013-12-19 20:07","2013-12-19 20:35","0:28","0.47","Listening","Books:fiction","Leskov Geleznaya Volya",""
"2013-12-19 20:53","2013-12-19 21:01","0:08","0.13","Listening","Books:fiction","Leskov Geleznaya Volya",""
"2013-12-19 21:42","2013-12-19 22:09","0:27","0.45","Learning","Linear Algebra","Khan Academy",""
